WGS84 UTM 29N
554271 4505924
-132.144948325 57.6989672696 114.0
-1.88199495757 17.3959998675 113.7
-5.67447878502 -82.4715903243 113.7
-17.8658536479 -115.989949608 113.8
5.45293181727 -99.5760154044 113.8
-121.960863378 -59.5070407391 114.0
-105.094141595 -72.2735103788 113.4
33.1193269799 120.084648593 113.7
61.6790967203 25.5523309791 113.6
54.3882745956 -15.8807087801 113.5
-61.9736880375 56.6288981671 113.8
-67.5762492798 -40.3969667908 113.6
-46.977613739 86.5269691041 113.7
-56.1287530308 100.579976045 113.6
43.2775273804 -51.7737262417 113.7
128.298432596 81.5906622866 114.0
-133.715180262 8.10350684635 113.6
-125.526582722 -56.9910449861 113.6
123.521300321 83.6250475105 113.7
-139.798010371 41.2699453682 113.6
106.833337213 -43.6390811019 113.8
19.3900781906 -120.855005251 113.8
-33.7299202265 -92.2708898708 113.5
95.5748512959 -26.3456462249 113.7
-101.518710771 11.518917392 113.7
20.6649950929 -17.2628085334 113.5
16.4319354843 94.7902856329 113.6
-44.9906414805 -74.966894458 113.5
92.655259033 83.7600584533 113.7
65.6440274253 -86.1382187223 113.6
-55.9186939305 100.473544638 113.5
129.543880872 27.429315283 113.8
115.120355022 49.3061860511 113.8
129.517931952 13.1071743388 113.8
-22.4917204871 -109.592067652 113.5
-16.9003818313 -12.4992122184 113.5
-106.572514095 72.233827848 113.7
-132.152039847 57.3121242663 113.8
-62.121568875 4.04252649378 113.5
-24.7793881013 104.495322904 113.8
-28.2606245794 -47.8565078955 113.5
77.1336210697 -103.301756343 113.8
111.300574195 2.31110018026 113.5
79.8307519252 103.396818365 113.5
75.8529658685 -102.391807078 113.9
-66.0033611632 -95.5900774561 113.6
-5.60870220978 -29.8195443545 113.5
9.36034281715 0.0969501780346 113.7
81.65276214 100.623574429 113.6
5.77185582567 -47.2403097209 113.5
77.5067879773 54.2199500762 113.6
-25.9263304333 107.314076957 113.9
85.7748300901 100.596869936 113.7
50.3271814422 42.8565318119 113.5
-2.17725631758 70.402131008 113.6
43.052939686 1.43537680153 113.6
51.9609198533 -117.334381307 113.9
88.3026642529 -67.9508426879 113.5
12.7954777807 -120.084278082 113.8
4.17589031393 113.551075578 113.8
76.9849481883 -50.6380714597 113.5
-122.387419038 -9.30834183283 113.6
50.4317104693 -115.591415337 113.5
-28.1306097098 4.6787850149 113.5
31.9619492983 -34.5236922521 113.5
-99.8493364681 -43.8859341899 113.7
102.231706545 -89.1021071961 113.9
-39.3996259504 104.286383569 113.6
64.0914082348 -110.756513814 113.7
-155.098660943 -10.9542590072 113.7
-7.96907814255 -117.442529269 113.7
-95.6193467157 81.7840009704 113.7
-73.4013899907 21.4322556099 113.5
17.0716551516 -64.5923772017 113.5
-134.547772925 -43.1504934216 113.6
-145.955334315 -25.8521215199 113.3
14.6316117132 115.928358748 113.7
-50.6746280552 39.2870478528 113.5
-90.1290009269 -5.80683712009 113.5
-146.517672787 27.4519687397 113.6
-72.0489717049 -96.7847698778 113.5
-144.703121367 24.9345281385 113.4
72.9861119604 8.2494032979 113.6
128.382401093 81.58996897 113.9
-50.8437595258 -13.211059615 113.5
20.4855539777 35.9613697166 113.5
-111.0927584 -26.5519295847 113.6
65.6622580385 -33.2398737082 113.5
-83.419147947 89.0201467611 114.1
-77.3117136635 -78.3867627131 113.7
84.2671258406 -9.04182074592 113.6
129.439288086 -7.17193126772 113.5
103.956971605 66.461127135 113.8
-124.09494699 45.9099649154 113.6
28.3384286602 -81.7827396719 113.6
-88.6841871059 -84.4557448411 113.5
122.531585278 -14.9537236355 113.6
-35.6949202565 69.2497705882 113.8
100.072562351 19.5522150425 113.5
129.668979223 -25.6821430186 113.7
66.1913819038 71.4186392901 113.6
88.7343236624 37.0086321542 113.6
-39.5493535399 -30.5923740342 113.5
-78.8345138645 -23.1257017553 113.5
-13.3940733148 87.5533533124 113.5
117.866359033 -60.6327273743 113.6
-58.7560073782 -106.580565174 113.6
54.970961317 88.6673994213 113.7
126.807975157 -74.9248358291 113.9
34.109757051 120.063692707 114.0
129.319339503 -24.4591204822 113.8
-107.660256568 73.7050161976 113.7
-24.4411983481 51.9476397084 113.8
-112.693796632 28.7709554555 113.7
31.6989822299 18.5887875892 113.6
27.6819068597 77.442620649 113.5
-16.956182446 -65.1776119573 113.7
-83.4188772906 90.1441812674 114.0
-73.2537166236 73.6768425358 113.5
-58.7415992842 -106.319625759 113.9
16.6215891782 -117.083356636 113.8
99.4616492926 -85.1499540526 113.7
111.32155058 -83.9677644484 113.8
9.19034742692 53.2809665846 113.7
-13.1662583227 34.6273831911 113.7
-39.3444993998 21.8835039446 113.6
39.6469120625 -99.0767977573 113.5
39.0921554064 60.100367073 113.5
5.64781308034 111.411537847 113.7
-56.2734387623 -57.6721200915 113.6
-84.7306237229 38.7681868197 113.7
43.6314614427 105.768762043 113.5
126.831561415 -75.3107107896 113.9
54.5486173703 -69.1822100049 113.6
126.509354738 31.5663468018 114.0
104.953662007 92.0363250459 113.8
-96.0143329467 55.9703684421 113.6
-88.5421857748 -61.1585244173 113.7
